Sale_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Unit_Price,Gross_Sales,Discount_Rate,Discount_Amount,Net_Sales,Unit_Cost,Total_Cost,Profit,Sales_Channel,Payment_Method,Is_Return,Target_ID,Campaign_ID
48,2026-04-18,4,120,10581,1,1250,1250,0.13,161.06,1088.94,570,570,518.94,Mağaza,Dijital Cüzdan,Hayır,1124,0
49,2025-09-29,7,112,10140,3,3600,10800,0.11,1212.71,9587.29,2050,6150,3437.29,Mağaza,Dijital Cüzdan,Hayır,1071,0
50,2025-01-02,1,117,10871,1,3100,3100,0.13,412.71,2687.29,1200,1200,1581.34,Online,Kredi Kartı,Hayır,1001,1
51,2026-05-26,2,116,10405,2,2300,4600,0.09,423.96,4176.04,1050,2100,2222.21,Online,Nakit,Hayır,1130,0
52,2025-10-13,7,114,10506,1,5800,5800,0.09,543.93,5256.07,3350,3350,1906.07,Mağaza,Kredi Kartı,Hayır,1079,5
53,2025-01-13,4,101,10581,1,18500,18500,0.05,996.81,17503.19,12500,12500,4740.64,Mağaza,Dijital Cüzdan,Hayır,1004,1
54,2026-05-13,4,102,10347,3,12500,37500,0.12,4454.59,33045.41,8500,25500,7049.72,Mağaza,Nakit,Hayır,1132,0
55,2025-08-26,3,113,10863,3,950,2850,0.04,104.95,2745.05,430,1290,1455.05,Mağaza,Banka Kartı,Hayır,1059,4
56,2025-04-04,4,119,10374,1,450,450,0.12,53.94,396.06,150,150,246.06,Online,Nakit,Hayır,1028,2
57,2025-12-04,1,113,10633,2,950,1900,0.21,398.97,1501.03,430,860,641.03,Mağaza,Banka Kartı,Hayır,1089,8
58,2025-06-20,4,105,10292,1,2800,2800,0.11,312.32,2487.68,1450,1450,1000.37,Online,Kredi Kartı,Hayır,1044,3
59,2026-04-12,8,107,10277,1,14500,14500,0.15,2238.76,12261.24,9300,9300,2961.24,Online,Banka Kartı,Hayır,1128,10
60,2025-05-23,4,113,10254,2,950,1900,0.03,62.94,1837.06,430,860,977.06,Mağaza,Banka Kartı,Hayır,1036,0
61,2025-07-20,1,113,10659,3,950,2850,0.13,383.39,2466.61,430,1290,1176.61,Mağaza,Banka Kartı,Hayır,1049,0
62,2025-06-29,6,119,10003,1,450,450,0.02,10.32,439.68,150,150,289.68,Mağaza,Nakit,Hayır,1046,3
63,2025-12-30,3,111,11124,3,4200,12600,0.13,1594.7,11005.3,2350,7050,3955.3,Mağaza,Kredi Kartı,Hayır,1091,8
64,2026-04-24,1,108,10457,1,5200,5200,0.13,694.12,4505.88,3000,3000,1505.88,Mağaza,Banka Kartı,Hayır,1121,0
65,2026-04-16,7,111,10418,1,4200,4200,0.18,755.07,3444.93,2350,2350,1094.93,Online,Banka Kartı,Hayır,1127,0
66,2026-01-19,1,116,10157,1,2300,2300,0.18,414.82,1885.18,1050,1050,901.16,Mağaza,Kredi Kartı,Hayır,1097,0
67,2026-02-21,8,112,10202,1,3600,3600,0.1,367.32,3232.68,2050,2050,1182.68,Mağaza,Kredi Kartı,Hayır,1112,0
68,2025-11-04,3,107,10884,1,14500,14500,0.17,2429.02,12070.98,9300,9300,2770.98,Mağaza,Kredi Kartı,Hayır,1083,6
69,2026-01-02,6,108,10697,1,5200,5200,0.06,291.15,4908.85,3000,3000,1908.85,Mağaza,Kredi Kartı,Hayır,1102,0
70,2025-01-01,4,116,10329,2,2300,4600,0.11,514.92,4085.08,1050,2100,2128.06,Online,Nakit,Hayır,1004,1
71,2025-02-13,2,102,10040,2,12500,25000,0.02,592.9,24407.1,8500,17000,7040.99,Online,Banka Kartı,Hayır,1010,0
72,2025-04-08,5,106,10715,1,6500,6500,0.05,347.62,6152.38,3800,3800,2260.09,Mağaza,Dijital Cüzdan,Hayır,1029,2
73,2025-09-22,8,104,10147,1,24500,24500,0.12,2986.29,21513.71,17000,17000,4191.0,Online,Dijital Cüzdan,Hayır,1072,0
74,2025-05-20,6,119,10242,1,450,450,0.14,61.82,388.18,150,150,238.18,Mağaza,Dijital Cüzdan,Hayır,1038,0
75,2026-04-26,5,102,10179,1,12500,12500,0.15,1839.82,10660.18,8500,8500,2000.28,Mağaza,Banka Kartı,Hayır,1125,0
76,2025-08-25,8,116,11073,1,2300,2300,0.07,162.94,2137.06,1050,1050,1161.86,Mağaza,Banka Kartı,Hayır,1064,4
77,2025-03-13,2,113,10180,1,950,950,0.1,98.08,851.92,430,430,421.92,Mağaza,Kredi Kartı,Hayır,1018,0
78,2025-07-09,1,113,10662,3,950,2850,0.14,392.71,2457.29,430,1290,1167.29,Mağaza,Banka Kartı,Hayır,1049,0
79,2025-09-25,1,116,10881,1,2300,2300,0.12,-284.1,-2015.9,1050,-1050,-1036.46,Mağaza,Dijital Cüzdan,Evet,1065,0
80,2025-11-17,5,109,10958,2,8900,17800,0.21,3697.23,14102.77,5100,10200,3902.77,Mağaza,Kredi Kartı,Hayır,1085,7
81,2025-04-17,7,109,10751,2,8900,17800,0.05,876.1,16923.9,5100,10200,6723.9,Mağaza,Nakit,Hayır,1031,0
82,2025-08-20,5,106,10209,1,6500,6500,0.07,450.51,6775.43,3800,3800,2417.8,Mağaza,Kredi Kartı,Hayır,1061,4
83,2025-02-11,8,113,10631,2,950,1900,0.12,229.6,1670.4,430,860,810.4,Mağaza,Dijital Cüzdan,Hayır,1016,0
84,2025-05-19,5,119,10543,1,450,450,0.01,5.37,444.63,150,150,294.63,Mağaza,Kredi Kartı,Hayır,1037,0
85,2025-09-30,3,119,10349,3,450,1350,0.05,61.29,1288.71,150,450,838.71,Mağaza,Nakit,Hayır,1067,0
86,2026-04-26,1,115,10519,1,1750,1750,0.12,217.04,1532.96,720,720,866.62,Mağaza,Nakit,Hayır,1121,0
87,2026-02-20,8,119,10387,1,450,450,0.08,37.39,412.61,150,150,262.61,Online,Banka Kartı,Hayır,1112,0
88,2026-05-21,1,120,10801,1,1250,1250,0.17,211.92,1038.08,570,570,468.08,Mağaza,Kredi Kartı,Hayır,1129,0
89,2026-02-28,4,117,10607,1,3100,3100,0.1,297.56,2802.44,1200,1200,1700.52,Online,Kredi Kartı,Hayır,1108,0
90,2026-02-11,2,109,10344,1,8900,8900,0.07,607.01,8292.99,5100,5100,3192.99,Mağaza,Kredi Kartı,Hayır,1106,9
91,2026-01-25,2,111,11062,1,4200,4200,0.05,227.49,3972.51,2350,2350,1622.51,Mağaza,Kredi Kartı,Hayır,1098,0
92,2025-12-08,5,119,10366,1,450,450,0.1,46.35,403.65,150,150,253.65,Mağaza,Nakit,Hayır,1093,8
93,2026-05-08,2,114,10381,1,5800,5800,0.07,424.67,5375.33,3350,3350,2025.33,Online,Kredi Kartı,Hayır,1130,0
94,2025-07-11,8,117,11150,1,3100,3100,0.13,415.63,2684.37,1200,1200,1578.33,Online,Kredi Kartı,Hayır,1056,0
95,2026-05-14,3,103,11200,1,32000,32000,0.11,3471.61,28528.39,22500,22500,5600.46,Online,Kredi Kartı,Hayır,1131,0
96,2025-08-21,5,105,10985,1,2800,2800,0.13,371.35,2720.09,1450,1450,1055.29,Online,Kredi Kartı,Hayır,1061,4
97,2025-08-15,6,108,11125,1,5200,5200,0.01,59.66,5140.34,3000,3000,2140.34,Mağaza,Kredi Kartı,Hayır,1062,4
98,2026-01-06,5,105,10491,2,2800,5600,0.14,777.03,4822.97,1450,2900,1850.62,Mağaza,Kredi Kartı,Hayır,1101,0
99,2025-05-19,8,119,10193,1,450,450,0.09,39.17,410.83,150,150,260.83,Mağaza,Banka Kartı,Hayır,1040,0
100,2025-05-29,2,105,10081,1,2800,2800,0.07,189.36,2610.64,1450,1450,1121.48,Mağaza,Dijital Cüzdan,Hayır,1034,0
101,2025-04-25,1,112,10878,1,3600,3600,0.11,385.2,3214.8,2050,2050,1164.8,Mağaza,Banka Kartı,Hayır,1025,0
102,2026-03-26,1,102,10129,2,12500,25000,0.12,3123.37,21876.63,8500,17000,4548.48,Mağaza,Kredi Kartı,Hayır,1113,10
103,2025-03-04,7,104,11030,2,24500,49000,0.14,6796.6,42203.4,17000,34000,7570.35,Online,Kredi Kartı,Hayır,1023,0
104,2025-04-14,8,106,10021,1,6500,6500,0.08,499.28,6000.72,3800,3800,2110.71,Mağaza,Banka Kartı,Hayır,1032,2
105,2025-09-30,2,120,10851,1,1250,1250,0.1,-120.64,-1129.36,570,-570,-559.36,Online,Banka Kartı,Evet,1066,0
106,2025-01-06,5,117,10028,1,3100,3100,0.04,129.86,2970.14,1200,1200,1874.09,Mağaza,Nakit,Hayır,1005,1
107,2025-05-27,1,114,10450,1,5800,5800,0.17,989.89,4810.11,3350,3350,1460.11,Mağaza,Dijital Cüzdan,Hayır,1033,0
108,2025-07-03,1,119,10923,1,450,450,0.07,30.27,419.73,150,150,269.73,Mağaza,Kredi Kartı,Hayır,1049,0
109,2025-01-28,5,119,10928,2,450,900,0.08,73.73,826.27,150,300,526.27,Mağaza,Kredi Kartı,Hayır,1005,0
110,2025-04-29,1,110,10652,1,3200,3200,0.14,434.57,2765.43,1800,1800,965.43,Online,Banka Kartı,Hayır,1025,0
111,2025-10-20,3,107,10833,1,14500,14500,0.12,1703.4,12796.6,9300,9300,3496.6,Mağaza,Kredi Kartı,Hayır,1075,5
112,2026-01-06,5,107,10235,3,14500,43500,0.1,4352.6,39147.4,9300,27900,11247.4,Online,Kredi Kartı,Hayır,1101,0
113,2025-09-01,6,101,10424,1,18500,18500,0.1,1829.09,16670.91,12500,12500,3920.84,Mağaza,Kredi Kartı,Hayır,1070,4
114,2025-08-06,3,106,10605,3,6500,19500,0.08,-1501.19,-17998.81,3800,-11400,-6328.83,Online,Kredi Kartı,Evet,1059,0
115,2025-06-26,5,108,11161,3,5200,15600,0.11,1646.28,15628.17,3000,9000,5548.17,Online,Banka Kartı,Hayır,1045,3
116,2025-10-26,4,101,10082,1,18500,18500,0.09,1598.18,16901.82,12500,12500,4148.29,Mağaza,Kredi Kartı,Hayır,1076,5
117,2025-02-27,1,119,10318,1,450,450,0.17,74.27,375.73,150,150,225.73,Online,Dijital Cüzdan,Hayır,1009,0
118,2025-09-26,6,118,10365,2,1800,3600,0.1,370.12,3229.88,850,1700,1529.88,Online,Banka Kartı,Hayır,1070,0
119,2025-11-04,1,106,10765,3,6500,19500,0.2,3896.28,15603.72,3800,11400,3969.67,Online,Banka Kartı,Hayır,1081,6
120,2025-10-15,1,117,10740,2,3100,6200,0.17,1048.78,5151.22,1200,2400,2931.51,Online,Kredi Kartı,Hayır,1073,5
121,2025-04-15,3,117,10400,1,3100,3100,0.08,242.02,2857.98,1200,1200,1758.0,Online,Kredi Kartı,Hayır,1027,2
122,2025-08-16,7,108,10356,2,5200,10400,0.07,711.96,9688.04,3000,6000,3688.04,Online,Kredi Kartı,Hayır,1063,4
123,2025-09-04,1,115,10936,3,1750,5250,0.14,750.83,4499.17,720,2160,2496.64,Online,Kredi Kartı,Hayır,1065,4
124,2026-05-09,1,106,10235,1,6500,6500,0.19,1241.22,5258.78,3800,3800,1379.89,Online,Dijital Cüzdan,Hayır,1129,0
125,2025-03-24,1,102,10035,2,12500,25000,0.13,3225.1,21774.9,8500,17000,4448.27,Mağaza,Banka Kartı,Hayır,1017,2
126,2025-07-05,3,111,10639,1,4200,4200,0.13,566.21,3633.79,2350,2350,1283.79,Online,Banka Kartı,Hayır,1051,0
127,2025-09-09,4,110,10339,1,3200,3200,0.1,305.92,2894.08,1800,1800,1094.08,Mağaza,Kredi Kartı,Hayır,1068,4
128,2025-12-21,1,104,11077,1,24500,24500,0.19,4739.71,19760.29,17000,17000,2463.89,Mağaza,Dijital Cüzdan,Hayır,1089,8
129,2025-07-29,6,111,10443,1,4200,4200,0.06,265.36,3934.64,2350,2350,1584.64,Online,Banka Kartı,Hayır,1054,0
130,2026-03-23,6,119,10420,2,450,900,0.12,111.38,788.62,150,300,488.62,Online,Kredi Kartı,Hayır,1118,10
131,2026-04-05,5,115,10706,1,1750,1750,0.07,118.17,1631.83,720,720,968.94,Mağaza,Kredi Kartı,Hayır,1125,10
132,2026-04-17,4,116,10752,1,2300,2300,0.0,0.0,2300.0,1050,1050,1330.5,Mağaza,Banka Kartı,Hayır,1124,0
133,2026-01-05,3,116,10249,1,2300,2300,0.12,280.12,2019.88,1050,1050,1040.57,Online,Kredi Kartı,Hayır,1099,0
134,2026-05-07,3,116,10293,1,2300,2300,0.11,248.76,2051.24,1050,1050,1073.04,Mağaza,Banka Kartı,Hayır,1131,0
135,2025-05-17,4,101,10207,2,18500,37000,0.06,2344.13,34655.87,12500,25000,9136.03,Mağaza,Banka Kartı,Hayır,1036,0
136,2026-01-02,1,119,11125,1,450,450,0.17,75.1,374.9,150,150,224.9,Mağaza,Kredi Kartı,Hayır,1097,0
137,2025-07-03,5,118,10435,1,1800,1800,0.04,78.01,1928.63,850,850,976.63,Online,Kredi Kartı,Hayır,1053,0
138,2025-10-14,3,106,10239,3,6500,19500,0.08,1491.88,18008.12,3800,11400,6338.0,Mağaza,Banka Kartı,Hayır,1075,5
139,2026-04-17,2,112,11148,1,3600,3600,0.15,531.9,3068.1,2050,2050,1018.1,Mağaza,Banka Kartı,Hayır,1122,0
140,2026-01-10,2,113,10518,1,950,950,0.05,47.78,902.22,430,430,472.22,Mağaza,Banka Kartı,Hayır,1098,0
141,2026-06-21,1,104,10737,1,24500,24500,0.09,2132.06,22367.94,17000,17000,5032.42,Mağaza,Kredi Kartı,Hayır,1137,11
142,2026-05-26,8,106,10149,1,6500,6500,0.08,507.78,5992.22,3800,3800,2102.34,Mağaza,Nakit,Hayır,1136,0
143,2025-09-07,1,101,10057,1,18500,18500,0.19,3600.97,14899.03,12500,12500,2175.54,Mağaza,Banka Kartı,Hayır,1065,4
144,2026-05-25,7,118,10156,1,1800,1800,0.04,64.14,1735.86,850,850,885.86,Online,Kredi Kartı,Hayır,1135,0
145,2025-03-14,4,101,10536,1,18500,18500,0.07,1368.04,17131.96,12500,12500,4374.99,Mağaza,Kredi Kartı,Hayır,1020,0
146,2025-10-09,7,107,10115,1,14500,14500,0.11,1617.56,12882.44,9300,9300,3582.44,Mağaza,Dijital Cüzdan,Hayır,1079,5
147,2025-12-26,3,102,10604,2,12500,25000,0.16,3980.52,21019.48,8500,17000,3704.18,Online,Banka Kartı,Hayır,1091,8
148,2025-01-10,8,116,10331,1,2300,2300,0.1,230.75,2069.25,1050,1050,1091.68,Online,Kredi Kartı,Hayır,1008,1
149,2025-07-30,2,119,10366,1,450,450,0.07,30.16,419.84,150,150,269.84,Mağaza,Kredi Kartı,Hayır,1050,0
150,2025-06-01,4,112,10886,2,3600,7200,0.09,677.21,6522.79,2050,4100,2422.79,Mağaza,Kredi Kartı,Hayır,1044,3
151,2025-01-05,1,104,11061,1,24500,24500,0.19,4585.34,19914.66,17000,17000,2615.94,Mağaza,Kredi Kartı,Hayır,1001,1
152,2025-07-14,3,112,10297,3,3600,10800,0.07,808.0,9992.0,2050,6150,3842.0,Online,Kredi Kartı,Hayır,1051,0
153,2025-10-10,4,116,10465,2,2300,4600,0.11,511.58,4088.42,1050,2100,2131.52,Mağaza,Banka Kartı,Hayır,1076,5
154,2026-04-09,5,115,10847,1,1750,1750,0.11,187.22,1562.78,720,720,897.47,Mağaza,Dijital Cüzdan,Hayır,1125,10
155,2025-04-23,3,116,10738,3,2300,6900,0.09,620.96,6279.04,1050,3150,3348.8,Online,Kredi Kartı,Hayır,1027,0
156,2025-09-28,1,106,10873,2,6500,13000,0.12,1524.84,11475.16,3800,7600,3703.03,Online,Banka Kartı,Hayır,1065,0
157,2025-06-12,5,102,10811,4,12500,50000,0.05,2610.08,53076.71,8500,34000,14200.56,Mağaza,Banka Kartı,Hayır,1045,3
158,2026-04-05,4,104,10486,2,24500,49000,0.15,7480.07,41519.93,17000,34000,6897.13,Online,Kredi Kartı,Hayır,1124,10
159,2025-04-15,1,119,10399,3,450,1350,0.2,268.27,1081.73,150,450,631.73,Mağaza,Nakit,Hayır,1025,2
160,2025-10-09,8,113,11076,2,950,1900,0.09,177.35,1722.65,430,860,862.65,Mağaza,Banka Kartı,Hayır,1080,5
161,2025-06-11,8,115,10772,2,1750,3500,0.17,581.05,2918.95,720,1440,1581.11,Mağaza,Kredi Kartı,Hayır,1048,3
162,2025-12-17,7,119,10914,1,450,450,0.13,59.78,390.22,150,150,240.22,Online,Banka Kartı,Hayır,1095,8
163,2026-03-10,7,118,10886,3,1800,5400,0.04,200.47,5199.53,850,2550,2649.53,Mağaza,Banka Kartı,Hayır,1119,0
164,2025-05-20,1,105,10519,1,2800,2800,0.1,266.43,2533.57,1450,1450,1045.57,Mağaza,Dijital Cüzdan,Hayır,1033,0
165,2026-04-16,8,102,11193,2,12500,25000,0.04,911.28,24088.72,8500,17000,6727.39,Mağaza,Kredi Kartı,Hayır,1128,0
166,2025-05-12,3,119,10702,3,450,1350,0.11,148.84,1201.16,150,450,751.16,Online,Banka Kartı,Hayır,1035,0
167,2025-03-28,1,120,11164,1,1250,1250,0.14,178.9,1071.1,570,570,501.1,Online,Banka Kartı,Hayır,1017,2
168,2025-07-02,7,113,10347,1,950,950,0.06,56.17,893.83,430,430,463.83,Mağaza,Kredi Kartı,Hayır,1055,0
169,2026-01-03,2,119,10058,1,450,450,0.09,42.59,407.41,150,150,257.41,Online,Nakit,Hayır,1098,0
170,2025-05-09,4,105,10658,3,2800,8400,0.14,1208.02,7191.98,1450,4350,2734.1,Mağaza,Kredi Kartı,Hayır,1036,0
171,2025-09-03,1,103,10178,2,32000,64000,0.21,13508.14,50491.86,22500,45000,4734.49,Mağaza,Banka Kartı,Hayır,1065,4
172,2026-01-13,3,111,10465,1,4200,4200,0.11,449.32,3750.68,2350,2350,1400.68,Online,Kredi Kartı,Hayır,1099,0
173,2025-05-29,4,117,11151,3,3100,9300,0.11,1044.19,8255.81,1200,3600,4944.76,Mağaza,Nakit,Hayır,1036,0
174,2026-03-09,3,113,11069,1,950,950,0.11,104.47,845.53,430,430,415.53,Mağaza,Dijital Cüzdan,Hayır,1115,0
175,2026-04-14,1,113,10190,1,950,950,0.16,152.8,797.2,430,430,367.2,Mağaza,Banka Kartı,Hayır,1121,10
176,2026-03-22,4,101,10366,1,18500,18500,0.04,772.41,17727.59,12500,12500,4961.68,Mağaza,Nakit,Hayır,1116,10
177,2026-04-26,3,107,10193,1,14500,14500,0.1,1470.07,13029.93,9300,9300,3729.93,Mağaza,Kredi Kartı,Hayır,1123,0
178,2025-10-21,2,119,10567,1,450,450,0.06,27.9,422.1,150,150,272.1,Mağaza,Dijital Cüzdan,Hayır,1074,5
179,2025-05-23,8,104,10294,2,24500,49000,0.07,3539.82,45460.18,17000,34000,10778.28,Online,Nakit,Hayır,1040,0
180,2025-09-07,3,115,10772,1,1750,1750,0.11,198.76,1551.24,720,720,885.53,Online,Kredi Kartı,Hayır,1067,4
181,2025-10-29,7,116,11011,2,2300,4600,0.14,646.8,3953.2,1050,2100,1991.56,Mağaza,Banka Kartı,Hayır,1079,5
182,2025-01-25,1,116,10527,1,2300,2300,0.16,365.11,1934.89,1050,1050,952.61,Mağaza,Dijital Cüzdan,Hayır,1001,0
183,2025-03-11,2,120,10149,4,1250,5000,0.09,429.19,4570.81,570,2280,2290.81,Online,Banka Kartı,Hayır,1018,0
184,2025-04-22,1,109,10149,2,8900,17800,0.14,2428.48,15371.52,5100,10200,5171.52,Mağaza,Dijital Cüzdan,Hayır,1025,0
185,2025-12-30,3,114,10251,1,5800,5800,0.14,810.28,4989.72,3350,3350,1639.72,Mağaza,Banka Kartı,Hayır,1091,8
186,2025-10-30,1,105,10435,1,2800,2800,0.14,385.47,2414.53,1450,1450,928.31,Mağaza,Kredi Kartı,Hayır,1073,5
187,2026-04-16,3,109,10214,3,8900,26700,0.07,1957.18,24742.82,5100,15300,9442.82,Mağaza,Dijital Cüzdan,Hayır,1123,0
188,2025-04-01,3,111,10620,1,4200,4200,0.06,249.85,3950.15,2350,2350,1600.15,Mağaza,Dijital Cüzdan,Hayır,1027,2
189,2026-06-14,2,105,10035,1,2800,2800,0.08,211.61,2588.39,1450,1450,1099.57,Online,Kredi Kartı,Hayır,1138,11
190,2025-07-11,5,119,10381,1,450,450,0.13,59.94,436.86,150,150,268.86,Online,Kredi Kartı,Hayır,1053,0
191,2025-08-30,8,115,10772,3,1750,5250,0.1,527.34,4722.66,720,2160,2727.95,Online,Banka Kartı,Hayır,1064,4
192,2025-05-18,2,106,10227,2,6500,13000,0.08,997.45,12002.55,3800,7600,4222.51,Online,Banka Kartı,Hayır,1034,0
193,2025-12-11,5,104,10220,3,24500,73500,0.13,9793.35,63706.65,17000,51000,11751.05,Online,Dijital Cüzdan,Hayır,1093,8
194,2025-06-29,6,106,11164,2,6500,13000,0.1,1282.34,11717.66,3800,7600,3941.89,Mağaza,Kredi Kartı,Hayır,1046,3
195,2026-05-18,4,113,10798,1,950,950,0.05,44.98,905.02,430,430,475.02,Mağaza,Kredi Kartı,Hayır,1132,0
