Customer_ID,Gender,Age_Group,Customer_Segment
10150,Kadın,18-24,Bireysel
10151,Kadın,45-54,Premium
10152,Kadın,35-44,Bireysel
10153,Erkek,35-44,Bireysel
10154,Erkek,45-54,Bireysel
10155,Kadın,35-44,Premium
10156,Erkek,45-54,Bireysel
10157,Erkek,55+,Sadık Müşteri
10158,Kadın,25-34,Sadık Müşteri
10159,Kadın,25-34,Bireysel
10160,Kadın,35-44,Sadık Müşteri
10161,Erkek,55+,Bireysel
10162,Erkek,25-34,Sadık Müşteri
10163,Kadın,35-44,Sadık Müşteri
10164,Kadın,35-44,Bireysel
10165,Kadın,45-54,Bireysel
10166,Kadın,25-34,Sadık Müşteri
10167,Kadın,45-54,Bireysel
10168,Kadın,55+,Bireysel
10169,Erkek,25-34,Bireysel
10170,Erkek,25-34,Sadık Müşteri
10171,Kadın,55+,Sadık Müşteri
10172,Erkek,25-34,Bireysel
10173,Kadın,45-54,Bireysel
10174,Kadın,35-44,Bireysel
10175,Kadın,25-34,Sadık Müşteri
10176,Erkek,45-54,Bireysel
10177,Erkek,35-44,Sadık Müşteri
10178,Erkek,35-44,Bireysel
10179,Kadın,25-34,Premium
10180,Erkek,35-44,Bireysel
10181,Kadın,25-34,Bireysel
10182,Erkek,25-34,Bireysel
10183,Kadın,55+,Premium
10184,Kadın,25-34,Sadık Müşteri
10185,Erkek,35-44,Bireysel
10186,Erkek,25-34,Sadık Müşteri
10187,Kadın,45-54,Sadık Müşteri
10188,Erkek,25-34,Bireysel
10189,Kadın,55+,Bireysel
10190,Erkek,35-44,Bireysel
10191,Erkek,25-34,Bireysel
10192,Erkek,18-24,Premium
10193,Erkek,25-34,Premium
10194,Erkek,35-44,Sadık Müşteri
10195,Kadın,25-34,Bireysel
10196,Erkek,45-54,Bireysel
10197,Kadın,35-44,Sadık Müşteri
10198,Kadın,25-34,Premium
10199,Kadın,35-44,Premium
10200,Kadın,45-54,Sadık Müşteri
10201,Erkek,25-34,Sadık Müşteri
10202,Kadın,25-34,Bireysel
10203,Erkek,18-24,Bireysel
10204,Kadın,45-54,Premium
10205,Kadın,35-44,Sadık Müşteri
10206,Kadın,35-44,Bireysel
10207,Kadın,45-54,Bireysel
10208,Kadın,45-54,Sadık Müşteri
10209,Erkek,35-44,Bireysel
10210,Kadın,45-54,Bireysel
10211,Erkek,25-34,Bireysel
10212,Kadın,18-24,Sadık Müşteri
10213,Kadın,25-34,Sadık Müşteri
10214,Erkek,18-24,Bireysel
10215,Kadın,35-44,Sadık Müşteri
10216,Kadın,55+,Bireysel
10217,Kadın,18-24,Bireysel
10218,Kadın,25-34,Sadık Müşteri
10219,Erkek,35-44,Sadık Müşteri
10220,Kadın,55+,Sadık Müşteri
10221,Erkek,25-34,Sadık Müşteri
10222,Erkek,35-44,Bireysel
10223,Kadın,18-24,Bireysel
10224,Erkek,25-34,Bireysel
10225,Kadın,55+,Bireysel
10226,Erkek,55+,Bireysel
10227,Kadın,18-24,Premium
10228,Erkek,55+,Bireysel
10229,Kadın,35-44,Premium
10230,Kadın,45-54,Sadık Müşteri
10231,Erkek,35-44,Sadık Müşteri
10232,Erkek,35-44,Bireysel
10233,Kadın,35-44,Bireysel
10234,Kadın,35-44,Bireysel
10235,Erkek,25-34,Bireysel
10236,Erkek,18-24,Sadık Müşteri
10237,Erkek,25-34,Bireysel
10238,Erkek,45-54,Bireysel
10239,Erkek,25-34,Sadık Müşteri
10240,Erkek,35-44,Bireysel
10241,Kadın,55+,Premium
10242,Kadın,18-24,Premium
10243,Erkek,35-44,Premium
10244,Erkek,35-44,Bireysel
10245,Kadın,45-54,Bireysel
10246,Kadın,25-34,Premium
10247,Erkek,35-44,Bireysel
10248,Kadın,45-54,Premium
10249,Kadın,55+,Premium
10250,Kadın,35-44,Sadık Müşteri
10251,Kadın,35-44,Bireysel
10252,Kadın,35-44,Bireysel
10253,Kadın,45-54,Sadık Müşteri
10254,Kadın,35-44,Bireysel
10255,Erkek,18-24,Bireysel
10256,Kadın,55+,Bireysel
10257,Erkek,35-44,Premium
10258,Erkek,35-44,Sadık Müşteri
10259,Kadın,25-34,Bireysel
10260,Erkek,35-44,Bireysel
10261,Kadın,25-34,Sadık Müşteri
10262,Erkek,35-44,Premium
10263,Kadın,18-24,Bireysel
10264,Erkek,35-44,Bireysel
10265,Erkek,55+,Sadık Müşteri
10266,Kadın,18-24,Sadık Müşteri
10267,Kadın,55+,Sadık Müşteri
10268,Erkek,25-34,Sadık Müşteri
10269,Erkek,45-54,Bireysel
10270,Kadın,45-54,Bireysel
10271,Erkek,35-44,Sadık Müşteri
10272,Kadın,45-54,Sadık Müşteri
10273,Erkek,45-54,Sadık Müşteri
10274,Kadın,25-34,Premium
10275,Erkek,25-34,Bireysel
10276,Kadın,35-44,Bireysel
10277,Kadın,45-54,Sadık Müşteri
10278,Kadın,45-54,Sadık Müşteri
10279,Kadın,45-54,Sadık Müşteri
10280,Kadın,35-44,Sadık Müşteri
10281,Kadın,45-54,Premium
10282,Erkek,25-34,Bireysel
10283,Kadın,35-44,Bireysel
10284,Kadın,18-24,Bireysel
10285,Kadın,25-34,Bireysel
10286,Kadın,25-34,Bireysel
10287,Kadın,25-34,Bireysel
10288,Kadın,35-44,Bireysel
10289,Kadın,25-34,Bireysel
10290,Kadın,35-44,Sadık Müşteri
10291,Erkek,25-34,Bireysel
10292,Erkek,25-34,Bireysel
10293,Kadın,25-34,Sadık Müşteri
10294,Kadın,18-24,Bireysel
10295,Erkek,35-44,Bireysel
10296,Kadın,35-44,Bireysel
10297,Erkek,35-44,Sadık Müşteri
10298,Kadın,35-44,Bireysel
10299,Erkek,25-34,Sadık Müşteri
10300,Erkek,45-54,Bireysel
10301,Erkek,35-44,Bireysel
10302,Erkek,35-44,Bireysel
10303,Kadın,18-24,Bireysel
10304,Kadın,25-34,Sadık Müşteri
10305,Erkek,25-34,Sadık Müşteri
10306,Erkek,25-34,Premium
10307,Kadın,35-44,Bireysel
10308,Kadın,35-44,Bireysel
10309,Kadın,35-44,Sadık Müşteri
10310,Kadın,45-54,Bireysel
10311,Erkek,45-54,Bireysel
10312,Kadın,45-54,Bireysel
10313,Kadın,55+,Bireysel
10314,Kadın,18-24,Premium
10315,Kadın,25-34,Sadık Müşteri
10316,Kadın,18-24,Sadık Müşteri
10317,Erkek,35-44,Bireysel
10318,Erkek,55+,Bireysel
10319,Erkek,25-34,Bireysel
10320,Kadın,55+,Bireysel
10321,Erkek,18-24,Bireysel
10322,Erkek,55+,Sadık Müşteri
10323,Erkek,25-34,Sadık Müşteri
10324,Kadın,18-24,Bireysel
10325,Kadın,35-44,Premium
10326,Kadın,25-34,Sadık Müşteri
10327,Kadın,25-34,Bireysel
10328,Kadın,25-34,Sadık Müşteri
10329,Kadın,45-54,Bireysel
10330,Kadın,35-44,Bireysel
10331,Erkek,25-34,Bireysel
10332,Kadın,35-44,Sadık Müşteri
10333,Kadın,45-54,Bireysel
10334,Erkek,25-34,Bireysel
10335,Erkek,25-34,Bireysel
10336,Erkek,25-34,Bireysel
10337,Erkek,25-34,Sadık Müşteri
10338,Erkek,35-44,Sadık Müşteri
10339,Erkek,25-34,Bireysel
10340,Kadın,35-44,Bireysel
10341,Kadın,45-54,Bireysel
10342,Kadın,18-24,Bireysel
10343,Kadın,35-44,Bireysel
10344,Kadın,25-34,Bireysel
10345,Erkek,55+,Bireysel
10346,Erkek,35-44,Sadık Müşteri
10347,Erkek,45-54,Sadık Müşteri
10348,Kadın,35-44,Bireysel
10349,Erkek,18-24,Bireysel
10350,Erkek,35-44,Sadık Müşteri
10351,Kadın,55+,Bireysel
10352,Erkek,35-44,Sadık Müşteri
10353,Kadın,45-54,Sadık Müşteri
10354,Kadın,55+,Bireysel
10355,Erkek,25-34,Bireysel
10356,Kadın,25-34,Sadık Müşteri
10357,Kadın,35-44,Bireysel
10358,Erkek,25-34,Sadık Müşteri
10359,Erkek,45-54,Premium
10360,Kadın,55+,Bireysel
10361,Kadın,25-34,Bireysel
10362,Kadın,25-34,Sadık Müşteri
10363,Erkek,45-54,Bireysel
10364,Kadın,25-34,Bireysel
10365,Kadın,45-54,Premium
10366,Erkek,25-34,Bireysel
10367,Erkek,35-44,Premium
10368,Kadın,18-24,Premium
10369,Kadın,35-44,Bireysel
10370,Erkek,35-44,Bireysel
10371,Kadın,35-44,Bireysel
10372,Kadın,25-34,Bireysel
10373,Erkek,45-54,Bireysel
10374,Kadın,45-54,Sadık Müşteri
10375,Erkek,25-34,Bireysel
10376,Kadın,18-24,Bireysel
10377,Kadın,18-24,Sadık Müşteri
10378,Kadın,35-44,Bireysel
10379,Kadın,35-44,Sadık Müşteri
10380,Kadın,35-44,Bireysel
10381,Kadın,25-34,Bireysel
10382,Erkek,25-34,Sadık Müşteri
10383,Erkek,35-44,Sadık Müşteri
10384,Erkek,35-44,Sadık Müşteri
10385,Erkek,55+,Sadık Müşteri
10386,Kadın,25-34,Sadık Müşteri
10387,Erkek,35-44,Bireysel
10388,Kadın,25-34,Bireysel
10389,Erkek,25-34,Sadık Müşteri
10390,Erkek,45-54,Sadık Müşteri
10391,Erkek,35-44,Premium
10392,Erkek,55+,Bireysel
10393,Erkek,25-34,Bireysel
10394,Kadın,18-24,Sadık Müşteri
10395,Kadın,45-54,Bireysel
10396,Erkek,35-44,Premium
10397,Kadın,25-34,Sadık Müşteri
10398,Erkek,18-24,Bireysel
10399,Erkek,18-24,Sadık Müşteri
10400,Kadın,55+,Sadık Müşteri
10401,Erkek,25-34,Bireysel
10402,Erkek,25-34,Premium
10403,Erkek,25-34,Bireysel
10404,Erkek,25-34,Sadık Müşteri
10405,Erkek,18-24,Bireysel
10406,Erkek,35-44,Premium
10407,Erkek,18-24,Bireysel
10408,Kadın,45-54,Bireysel
10409,Kadın,25-34,Premium
10410,Erkek,35-44,Bireysel
10411,Kadın,55+,Bireysel
10412,Erkek,35-44,Premium
10413,Erkek,35-44,Premium
10414,Kadın,25-34,Bireysel
10415,Erkek,25-34,Sadık Müşteri
10416,Erkek,35-44,Bireysel
10417,Kadın,55+,Bireysel
10418,Kadın,35-44,Bireysel
10419,Kadın,35-44,Sadık Müşteri
10420,Kadın,45-54,Sadık Müşteri
10421,Erkek,35-44,Sadık Müşteri
10422,Kadın,18-24,Sadık Müşteri
10423,Erkek,35-44,Bireysel
10424,Kadın,55+,Bireysel
10425,Kadın,25-34,Bireysel
10426,Erkek,35-44,Bireysel
10427,Erkek,25-34,Bireysel
10428,Kadın,35-44,Premium
10429,Kadın,18-24,Bireysel
10430,Kadın,35-44,Bireysel
10431,Kadın,45-54,Bireysel
10432,Erkek,25-34,Sadık Müşteri
10433,Kadın,35-44,Sadık Müşteri
10434,Kadın,45-54,Bireysel
10435,Kadın,55+,Bireysel
10436,Erkek,25-34,Sadık Müşteri
10437,Erkek,25-34,Bireysel
10438,Kadın,25-34,Sadık Müşteri
10439,Erkek,55+,Sadık Müşteri
10440,Kadın,55+,Bireysel
10441,Kadın,35-44,Bireysel
10442,Erkek,45-54,Premium
10443,Erkek,35-44,Bireysel
10444,Erkek,35-44,Bireysel
10445,Erkek,18-24,Sadık Müşteri
10446,Kadın,45-54,Premium
10447,Erkek,25-34,Premium
10448,Kadın,45-54,Sadık Müşteri
10449,Erkek,45-54,Bireysel
10450,Kadın,45-54,Bireysel
10451,Erkek,18-24,Sadık Müşteri
10452,Kadın,25-34,Bireysel
10453,Kadın,25-34,Bireysel
10454,Erkek,25-34,Premium
10455,Kadın,18-24,Bireysel
10456,Kadın,55+,Bireysel
10457,Kadın,35-44,Bireysel
10458,Kadın,25-34,Bireysel
10459,Kadın,25-34,Bireysel
10460,Kadın,35-44,Bireysel
10461,Erkek,35-44,Bireysel
10462,Kadın,35-44,Sadık Müşteri
10463,Erkek,55+,Sadık Müşteri
10464,Erkek,35-44,Sadık Müşteri
10465,Kadın,55+,Premium
10466,Erkek,45-54,Bireysel
10467,Kadın,25-34,Bireysel
10468,Erkek,55+,Sadık Müşteri
10469,Kadın,18-24,Bireysel
10470,Kadın,45-54,Premium
10471,Erkek,25-34,Bireysel
10472,Erkek,45-54,Premium
10473,Erkek,45-54,Bireysel
10474,Kadın,45-54,Premium
10475,Erkek,45-54,Bireysel
10476,Kadın,25-34,Premium
10477,Kadın,18-24,Bireysel
10478,Kadın,25-34,Bireysel
10479,Erkek,25-34,Premium
10480,Kadın,35-44,Bireysel
10481,Kadın,25-34,Sadık Müşteri
10482,Erkek,55+,Sadık Müşteri
10483,Kadın,35-44,Bireysel
10484,Kadın,45-54,Sadık Müşteri
10485,Kadın,25-34,Sadık Müşteri
10486,Erkek,45-54,Premium
10487,Kadın,55+,Bireysel
10488,Kadın,35-44,Bireysel
10489,Erkek,35-44,Premium
10490,Erkek,45-54,Premium
10491,Kadın,25-34,Bireysel
10492,Erkek,35-44,Sadık Müşteri
10493,Erkek,25-34,Bireysel
10494,Erkek,25-34,Bireysel
10495,Kadın,25-34,Bireysel
10496,Erkek,18-24,Bireysel
10497,Erkek,18-24,Sadık Müşteri
10498,Kadın,25-34,Bireysel
10499,Kadın,55+,Premium
10500,Kadın,35-44,Premium
10501,Kadın,55+,Sadık Müşteri
10502,Erkek,35-44,Bireysel
10503,Kadın,25-34,Bireysel
10504,Kadın,35-44,Sadık Müşteri
10505,Erkek,35-44,Sadık Müşteri
10506,Kadın,18-24,Bireysel
10507,Erkek,35-44,Premium
10508,Kadın,25-34,Sadık Müşteri
10509,Kadın,35-44,Premium
10510,Kadın,35-44,Sadık Müşteri
10511,Kadın,25-34,Sadık Müşteri
10512,Kadın,18-24,Bireysel
10513,Erkek,45-54,Premium
10514,Erkek,35-44,Sadık Müşteri
10515,Kadın,18-24,Bireysel
10516,Erkek,55+,Bireysel
10517,Erkek,18-24,Bireysel
10518,Erkek,35-44,Sadık Müşteri
10519,Kadın,55+,Premium
10520,Kadın,25-34,Bireysel
10521,Kadın,25-34,Sadık Müşteri
10522,Erkek,25-34,Bireysel
10523,Erkek,25-34,Premium
10524,Kadın,18-24,Sadık Müşteri
10525,Kadın,35-44,Sadık Müşteri
10526,Erkek,18-24,Bireysel
10527,Erkek,35-44,Bireysel
10528,Erkek,55+,Bireysel
10529,Erkek,45-54,Bireysel
10530,Kadın,35-44,Sadık Müşteri
10531,Erkek,25-34,Sadık Müşteri
10532,Erkek,35-44,Premium
10533,Kadın,35-44,Premium
10534,Erkek,25-34,Bireysel
10535,Erkek,25-34,Sadık Müşteri
10536,Kadın,55+,Premium
10537,Erkek,35-44,Sadık Müşteri
10538,Erkek,25-34,Bireysel
10539,Erkek,25-34,Bireysel
10540,Kadın,25-34,Bireysel
10541,Kadın,45-54,Premium
10542,Erkek,45-54,Sadık Müşteri
10543,Kadın,45-54,Bireysel
10544,Erkek,18-24,Sadık Müşteri
10545,Erkek,25-34,Sadık Müşteri
10546,Kadın,35-44,Bireysel
10547,Kadın,18-24,Bireysel
10548,Kadın,25-34,Sadık Müşteri
10549,Kadın,45-54,Bireysel
10550,Erkek,25-34,Sadık Müşteri
10551,Erkek,35-44,Bireysel
10552,Erkek,25-34,Sadık Müşteri
10553,Erkek,18-24,Bireysel
10554,Kadın,25-34,Bireysel
10555,Erkek,55+,Sadık Müşteri
10556,Erkek,45-54,Bireysel
10557,Erkek,55+,Bireysel
10558,Erkek,35-44,Bireysel
10559,Kadın,18-24,Sadık Müşteri
10560,Erkek,35-44,Sadık Müşteri
10561,Kadın,35-44,Sadık Müşteri
10562,Kadın,45-54,Bireysel
10563,Kadın,18-24,Bireysel
10564,Erkek,35-44,Bireysel
10565,Erkek,25-34,Bireysel
10566,Erkek,25-34,Sadık Müşteri
10567,Erkek,45-54,Bireysel
10568,Erkek,35-44,Bireysel
10569,Erkek,25-34,Premium
10570,Kadın,25-34,Bireysel
10571,Kadın,35-44,Bireysel
10572,Kadın,45-54,Sadık Müşteri
10573,Erkek,55+,Bireysel
10574,Erkek,55+,Sadık Müşteri
10575,Kadın,45-54,Sadık Müşteri
10576,Kadın,25-34,Premium
10577,Erkek,35-44,Bireysel
10578,Kadın,35-44,Premium
10579,Erkek,25-34,Bireysel
10580,Erkek,45-54,Bireysel
10581,Kadın,18-24,Bireysel
10582,Kadın,55+,Premium
10583,Erkek,35-44,Bireysel
10584,Erkek,35-44,Bireysel
10585,Erkek,35-44,Sadık Müşteri
10586,Erkek,55+,Bireysel
10587,Kadın,35-44,Bireysel
10588,Kadın,35-44,Bireysel
10589,Erkek,18-24,Bireysel
10590,Erkek,35-44,Bireysel
10591,Kadın,25-34,Bireysel
10592,Erkek,45-54,Sadık Müşteri
10593,Erkek,35-44,Bireysel
10594,Kadın,35-44,Bireysel
10595,Kadın,18-24,Premium
10596,Erkek,18-24,Bireysel
10597,Kadın,45-54,Sadık Müşteri
10598,Kadın,18-24,Bireysel
10599,Kadın,18-24,Bireysel
10600,Erkek,18-24,Bireysel
10601,Erkek,55+,Bireysel
10602,Erkek,45-54,Bireysel
10603,Kadın,25-34,Bireysel
10604,Erkek,25-34,Bireysel
10605,Erkek,25-34,Bireysel
10606,Erkek,45-54,Bireysel
10607,Erkek,35-44,Bireysel
10608,Kadın,25-34,Bireysel
10609,Erkek,25-34,Bireysel
10610,Kadın,18-24,Sadık Müşteri
10611,Erkek,35-44,Bireysel
10612,Kadın,45-54,Sadık Müşteri
10613,Kadın,25-34,Sadık Müşteri
10614,Kadın,18-24,Bireysel
10615,Erkek,18-24,Sadık Müşteri
10616,Kadın,55+,Premium
10617,Erkek,25-34,Bireysel
10618,Kadın,45-54,Bireysel
10619,Kadın,35-44,Sadık Müşteri
10620,Erkek,25-34,Sadık Müşteri
10621,Kadın,25-34,Bireysel
10622,Kadın,25-34,Bireysel
10623,Erkek,35-44,Bireysel
10624,Kadın,45-54,Bireysel
10625,Kadın,35-44,Sadık Müşteri
10626,Kadın,35-44,Bireysel
10627,Erkek,18-24,Bireysel
10628,Erkek,55+,Sadık Müşteri
10629,Erkek,45-54,Bireysel
10630,Erkek,25-34,Bireysel
10631,Kadın,55+,Sadık Müşteri
10632,Kadın,35-44,Premium
10633,Erkek,35-44,Bireysel
10634,Kadın,45-54,Bireysel
10635,Kadın,45-54,Bireysel
10636,Kadın,35-44,Bireysel
10637,Kadın,25-34,Bireysel
10638,Erkek,25-34,Bireysel
10639,Kadın,55+,Bireysel
10640,Kadın,25-34,Bireysel
10641,Kadın,25-34,Bireysel
10642,Erkek,35-44,Bireysel
10643,Kadın,35-44,Bireysel
10644,Kadın,35-44,Bireysel
10645,Erkek,55+,Bireysel
10646,Erkek,25-34,Premium
10647,Kadın,25-34,Sadık Müşteri
10648,Kadın,25-34,Sadık Müşteri
10649,Kadın,55+,Sadık Müşteri
10650,Kadın,35-44,Bireysel
10651,Kadın,25-34,Bireysel
10652,Kadın,45-54,Bireysel
10653,Kadın,45-54,Sadık Müşteri
10654,Kadın,45-54,Sadık Müşteri
10655,Erkek,55+,Bireysel
10656,Erkek,25-34,Bireysel
10657,Erkek,45-54,Bireysel
10658,Kadın,35-44,Bireysel
10659,Kadın,45-54,Sadık Müşteri
10660,Erkek,45-54,Bireysel
10661,Kadın,45-54,Bireysel
10662,Kadın,35-44,Premium
10663,Erkek,25-34,Sadık Müşteri
10664,Erkek,35-44,Bireysel
10665,Erkek,55+,Bireysel
10666,Kadın,55+,Bireysel
10667,Kadın,18-24,Bireysel
10668,Erkek,25-34,Bireysel
10669,Kadın,25-34,Bireysel
10670,Erkek,45-54,Bireysel
10671,Erkek,45-54,Bireysel
10672,Erkek,25-34,Premium
10673,Kadın,35-44,Bireysel
10674,Kadın,45-54,Bireysel
10675,Erkek,45-54,Bireysel
10676,Erkek,35-44,Premium
10677,Erkek,35-44,Bireysel
10678,Kadın,35-44,Bireysel
10679,Kadın,25-34,Premium
10680,Erkek,35-44,Sadık Müşteri
10681,Erkek,35-44,Sadık Müşteri
10682,Erkek,45-54,Bireysel
10683,Kadın,35-44,Bireysel
10684,Erkek,45-54,Sadık Müşteri
10685,Erkek,25-34,Premium
10686,Erkek,35-44,Bireysel
10687,Kadın,18-24,Bireysel
10688,Kadın,25-34,Bireysel
10689,Erkek,45-54,Sadık Müşteri
10690,Kadın,55+,Bireysel
10691,Kadın,18-24,Bireysel
10692,Erkek,25-34,Bireysel
10693,Kadın,45-54,Bireysel
10694,Erkek,25-34,Bireysel
10695,Kadın,35-44,Bireysel
10696,Erkek,45-54,Sadık Müşteri
10697,Erkek,35-44,Bireysel
10698,Kadın,25-34,Sadık Müşteri
10699,Kadın,25-34,Bireysel
10700,Kadın,45-54,Bireysel
10701,Kadın,35-44,Bireysel
10702,Erkek,18-24,Bireysel
10703,Erkek,45-54,Bireysel
10704,Kadın,18-24,Bireysel
10705,Kadın,45-54,Bireysel
10706,Kadın,25-34,Premium
10707,Erkek,55+,Bireysel
10708,Kadın,25-34,Sadık Müşteri
10709,Erkek,25-34,Bireysel
10710,Erkek,25-34,Sadık Müşteri
10711,Erkek,25-34,Sadık Müşteri
10712,Kadın,45-54,Sadık Müşteri
10713,Erkek,55+,Bireysel
10714,Kadın,25-34,Bireysel
10715,Kadın,35-44,Bireysel
10716,Erkek,45-54,Premium
10717,Erkek,55+,Sadık Müşteri
10718,Kadın,35-44,Premium
10719,Kadın,25-34,Bireysel
10720,Kadın,25-34,Sadık Müşteri
10721,Kadın,35-44,Premium
10722,Kadın,18-24,Bireysel
10723,Kadın,35-44,Bireysel
10724,Kadın,25-34,Sadık Müşteri
10725,Erkek,45-54,Bireysel
10726,Erkek,18-24,Sadık Müşteri
10727,Erkek,35-44,Bireysel
10728,Kadın,35-44,Sadık Müşteri
10729,Erkek,35-44,Bireysel
10730,Erkek,18-24,Bireysel
10731,Erkek,35-44,Bireysel
10732,Erkek,35-44,Sadık Müşteri
10733,Erkek,35-44,Sadık Müşteri
10734,Erkek,35-44,Bireysel
10735,Kadın,35-44,Bireysel
10736,Erkek,45-54,Sadık Müşteri
10737,Erkek,25-34,Bireysel
10738,Erkek,45-54,Sadık Müşteri
10739,Erkek,35-44,Bireysel
10740,Kadın,18-24,Bireysel
10741,Kadın,18-24,Bireysel
10742,Erkek,25-34,Bireysel
