Target_ID,Month,Store_ID,Target_Sales,Target_Profit
1046,2025-06-01,6,413400.0,66144.0
1047,2025-06-01,7,381600.0,61056.0
1048,2025-06-01,8,445200.0,71232.0
1049,2025-07-01,1,771840.0,111916.8
1050,2025-07-01,2,600320.0,96051.2
1051,2025-07-01,3,546720.0,87475.2
1052,2025-07-01,4,482400.0,77184.0
1053,2025-07-01,5,564300.8,90288.13
1054,2025-07-01,6,418080.0,66892.8
1055,2025-07-01,7,385920.0,61747.2
1056,2025-07-01,8,450240.0,72038.4
1057,2025-08-01,1,780480.0,113169.6
1058,2025-08-01,2,607040.0,97126.4
1059,2025-08-01,3,552840.0,88454.4
1060,2025-08-01,4,487800.0,78048.0
1061,2025-08-01,5,570617.6,91298.82
1062,2025-08-01,6,422760.0,67641.6
1063,2025-08-01,7,390240.0,62438.4
1064,2025-08-01,8,455280.0,72844.8
1065,2025-09-01,1,789120.0,114422.4
1066,2025-09-01,2,613760.0,98201.6
1067,2025-09-01,3,558960.0,89433.6
1068,2025-09-01,4,493200.0,78912.0
1069,2025-09-01,5,515120.0,82419.2
1070,2025-09-01,6,427440.0,68390.4
1071,2025-09-01,7,394560.0,63129.6
1072,2025-09-01,8,460320.0,73651.2
1073,2025-10-01,1,797760.0,115675.2
1074,2025-10-01,2,620480.0,99276.8
1075,2025-10-01,3,565080.0,90412.8
1076,2025-10-01,4,498600.0,79776.0
1077,2025-10-01,5,520760.0,83321.6
1078,2025-10-01,6,432120.0,69139.2
1079,2025-10-01,7,398880.0,63820.8
1080,2025-10-01,8,465360.0,74457.6
1081,2025-11-01,1,887040.0,128620.8
1082,2025-11-01,2,689920.0,110387.2
1083,2025-11-01,3,628320.0,100531.2
1084,2025-11-01,4,554400.0,88704.0
1085,2025-11-01,5,579040.0,92646.4
1086,2025-11-01,6,480480.0,76876.8
1087,2025-11-01,7,443520.0,70963.2
1088,2025-11-01,8,517440.0,82790.4
1089,2025-12-01,1,961747.2,139453.34
1090,2025-12-01,2,748025.6,119684.1
1091,2025-12-01,3,681237.6,108998.02
1092,2025-12-01,4,601092.0,96174.72
1093,2025-12-01,5,627807.2,100449.15
1094,2025-12-01,6,520946.4,83351.42
1095,2025-12-01,7,480873.6,76939.78
1096,2025-12-01,8,561019.2,89763.07
1097,2026-01-01,1,823680.0,119433.6
1098,2026-01-01,2,640640.0,102502.4
1099,2026-01-01,3,583440.0,93350.4
1100,2026-01-01,4,514800.0,82368.0
1101,2026-01-01,5,537680.0,86028.8
1102,2026-01-01,6,446160.0,71385.6
1103,2026-01-01,7,411840.0,65894.4
1104,2026-01-01,8,480480.0,76876.8
1105,2026-02-01,1,832320.0,120686.4
1106,2026-02-01,2,647360.0,103577.6
1107,2026-02-01,3,589560.0,94329.6
1108,2026-02-01,4,520200.0,83232.0
1109,2026-02-01,5,543320.0,86931.2
1110,2026-02-01,6,450840.0,72134.4
1111,2026-02-01,7,416160.0,66585.6
1112,2026-02-01,8,485520.0,77683.2
1113,2026-03-01,1,840960.0,121939.2
1114,2026-03-01,2,654080.0,104652.8
1115,2026-03-01,3,595680.0,95308.8
1116,2026-03-01,4,525600.0,84096.0
1117,2026-03-01,5,548960.0,87833.6
1118,2026-03-01,6,455520.0,72883.2
1119,2026-03-01,7,420480.0,67276.8
1120,2026-03-01,8,490560.0,78489.6
1121,2026-04-01,1,849600.0,123192.0
1122,2026-04-01,2,660800.0,105728.0
1123,2026-04-01,3,601800.0,96288.0
1124,2026-04-01,4,531000.0,84960.0
1125,2026-04-01,5,554600.0,88736.0
1126,2026-04-01,6,460200.0,73632.0
1127,2026-04-01,7,424800.0,67968.0
1128,2026-04-01,8,495600.0,79296.0
1129,2026-05-01,1,858240.0,124444.8
1130,2026-05-01,2,667520.0,106803.2
1131,2026-05-01,3,607920.0,97267.2
1132,2026-05-01,4,536400.0,85824.0
1133,2026-05-01,5,560240.0,89638.4
1134,2026-05-01,6,464880.0,74380.8
1135,2026-05-01,7,429120.0,68659.2
1136,2026-05-01,8,500640.0,80102.4
1137,2026-06-01,1,866880.0,125697.6
1138,2026-06-01,2,674240.0,107878.4
1139,2026-06-01,3,614040.0,98246.4
1140,2026-06-01,4,541800.0,86688.0
1141,2026-06-01,5,633785.6,101405.7
1142,2026-06-01,6,469560.0,75129.6
1143,2026-06-01,7,433440.0,69350.4
1144,2026-06-01,8,505680.0,80908.8
